requirement_id,feature_or_screen,user_story_id,evidence_source,final_status,screenshot_file,notes
FR-01,Homepage or landing screen,US-01,prototype/index.html + prototype/js/main.js,Completed,final-home.png,"The homepage introduces HallPass, highlights key features and recent review activity, and provides quick navigation to all major modules."
FR-02,Primary user pathway,US-01 / US-02 / US-03 / US-04 / US-05 / US-09,diagram/final-demo-flow.mmd,Completed,final-home.png; final-dorm-reviews.png; final-dorm-reviews-details.png; final-login.png; final-write-review.png; final-student-dashboard.png; final-admin-dashboard.png,"The complete student and administrator workflow is fully implemented and demonstrated during the final prototype presentation."
FR-03,User input or data submission,US-05 / US-07 / US-08,prototype/signup.html + prototype/login.html + prototype/write-review.html + prototype/student-dashboard.html + prototype/js/auth.js + prototype/js/reviews.js + prototype/js/profile-picture.js,Completed,final-signup.png; final-login.png; final-write-review.png; final-student-profile.png,"Students can register, log in, update their profile, and submit dormitory and cafeteria reviews with validation and privacy consent."
FR-04,Data storage or simulated storage,US-05 / US-09 / US-11 / US-12,prototype/js/data.js + prototype/js/reviews.js,Completed,final-student-dashboard.png,"User accounts, submitted reviews, saved places, profile settings, helpful votes, notifications, and moderation data are stored locally using browser localStorage."
FR-05,View records / list,US-02 / US-03 / US-14,prototype/dorms.html + prototype/cafeteria.html + prototype/index.html + prototype/student-dashboard.html + prototype/js/main.js + prototype/js/student-dashboard.js,Completed,final-dorm-reviews.png; final-cafeteria-reviews.png; final-student-saved-places.png,"Users can browse, bookmark, compare, and manage dormitory and cafeteria listings with verification labels and recent activity ordering."
FR-06,Search / filter / category,US-02 / US-03,prototype/js/main.js + prototype/dorms.html + prototype/cafeteria.html,Completed,final-dorm-reviews.png; final-cafeteria-reviews.png,"Keyword search, category filters, rating filters, sorting, and place comparison help users find suitable accommodation and food options."
FR-07,Detail view,US-04 / US-06,prototype/review-details.html + prototype/guide-details.html + prototype/js/reviews.js + prototype/js/guide-details.js,Completed,final-dorm-reviews-details.png; final-cafeteria-reviews-details.png; final-survival-guide.png,"Detailed pages display ratings, reviews, verification labels, helpful votes, Google Maps links, and complete place information."
FR-08,Status / progress tracking,US-11 / US-12 / US-14,prototype/student-dashboard.html + prototype/js/student-dashboard.js + prototype/js/data.js,Completed,final-student-dashboard.png; final-student-saved-places.png,"Students can track review status, receive activity notifications, view recently viewed places, and manage saved places."
FR-09,Admin / manager function,US-09 / US-13,prototype/dashboard.html + prototype/js/admin-dashboard.js + prototype/js/platform-admin.js + prototype/js/report-review.js,Completed,final-admin-dashboard.png; final-admin-dashboard-moderation-queue.png; final-admin-dashboard-report.png; final-admin-dashboard-user-management.png; final-admin-dashboard-audit-log.png,"Administrators can moderate reviews, manage reports, monitor helpful votes, manage users, and review audit records."
FR-10,Validation and feedback,US-05 / US-07 / US-08 / US-10,prototype/signup.html + prototype/login.html + prototype/write-review.html + prototype/student-dashboard.html + prototype/js/auth.js + prototype/js/reviews.js + prototype/js/privacy-notice.js + prototype/js/profile-picture.js,Completed,final-signup.png; final-login.png; final-write-review.png; final-student-profile.png,"Strong form validation, password requirements, privacy consent, confirmation messages, duplicate-report prevention, and improved profile editing are implemented."
FR-11,Dashboard / summary / metrics,US-09 / US-12,prototype/student-dashboard.html + prototype/dashboard.html + prototype/js/student-dashboard.js + prototype/js/admin-dashboard.js + prototype/js/platform-admin.js,Completed,final-student-dashboard.png; final-admin-dashboard.png,"Dashboards provide review statistics, moderation summaries, activity notifications, helpful-vote counts, and student account information."
FR-12,Final prototype traceability,US-01 through US-14,prototype/README.md + prototype/final-prototype-link.md,Completed,final-home.png; final-student-dashboard.png; final-admin-dashboard.png,"Every implemented feature is traceable to the documented system requirements, user stories, MVP features, and final demonstration workflow."
