Timestamp,Test_User_ID,User_Role,Prototype_Link,Task_Assigned,Task_Completed_Yes_No,Ease_of_Use_1_5,Usefulness_1_5,Confusing_Screen_or_Step,Most_Useful_Feature,Suggested_Improvement,Requirement_Affected
2026-07-20,U001,Senior Student,HallPass Prototype,Understand HallPass homepage,No,3,4,Navigation labels,Main navigation,"The main purpose was clear, although the feature card wording could be shorter.","FR-01, FR-02"
2026-07-20,U002,First-year Student,HallPass Prototype,Browse dormitory reviews,Yes,4,5,,Dormitory review cards,The rating and review details helped me understand the accommodation options.,"FR-04, FR-06, FR-07"
2026-07-20,U003,International Student,HallPass Prototype,Browse cafeteria reviews,Yes,3,5,Rating display,Cafeteria review cards,The rating display could be separated more clearly from the review text.,"FR-05, FR-06, FR-07"
2026-07-20,U004,Exchange Student,HallPass Prototype,Create an account or sign in,Yes,4,4,,Authentication navigation,The simulated login and signup flow was simple to complete.,FR-03
2026-07-20,U005,First-year Student,HallPass Prototype,Submit a dormitory or cafeteria review,Yes,4,5,,Write Review form,The review form was clear and I submitted the review successfully.,"FR-08, FR-10, FR-14"
2026-07-20,U006,Exchange Student,HallPass Prototype,Read the campus survival guide,Yes,5,4,,Guide topic cards,The campus survival guide provided useful information for new students.,FR-09
2026-07-20,U007,Student Administrator,HallPass Prototype,View the administrative dashboard,No,2,4,Dashboard navigation,Dashboard summary,The moderation section could be easier to locate.,FR-11
2026-07-20,U008,Exchange Student,HallPass Prototype,Understand HallPass homepage,Yes,5,4,Homepage purpose,Feature cards,"The homepage was understandable, but one navigation label could be clearer.","FR-01, FR-02"
2026-07-20,U009,International Student,HallPass Prototype,Browse dormitory reviews,Yes,5,4,,Review detail page,I could find and open a dormitory review without assistance.,"FR-04, FR-06, FR-07"
2026-07-20,U010,Senior Student,HallPass Prototype,Browse cafeteria reviews,Yes,4,5,Search label,Review detail page,The rating display could be separated more clearly from the review text.,"FR-05, FR-06, FR-07"
2026-07-20,U011,Senior Student,HallPass Prototype,Create an account or sign in,Yes,5,5,,Authentication navigation,The login page matched the design of the other HallPass pages.,FR-03
2026-07-20,U012,First-year Student,HallPass Prototype,Submit a dormitory or cafeteria review,Yes,4,5,,Form validation,The review form was clear and I submitted the review successfully.,"FR-08, FR-10, FR-14"
2026-07-20,U013,Exchange Student,HallPass Prototype,Read the campus survival guide,Yes,5,5,,Practical campus tips,The practical campus tips were relevant to first-year and international students.,FR-09
2026-07-20,U014,Student Administrator,HallPass Prototype,View the administrative dashboard,No,4,3,Statistic labels,Dashboard summary,Returning from the dashboard to the main pages could be more obvious.,FR-11
2026-07-20,U015,International Student,HallPass Prototype,Understand HallPass homepage,Yes,4,5,,Feature cards,Navigation to the main HallPass pages was clear.,"FR-01, FR-02"
2026-07-20,U016,Exchange Student,HallPass Prototype,Browse dormitory reviews,Yes,3,4,Dormitory category label,Review detail page,The dormitory category label could be more noticeable.,"FR-04, FR-06, FR-07"
2026-07-20,U017,International Student,HallPass Prototype,Browse cafeteria reviews,Yes,4,3,,Cafeteria review cards,The ratings and descriptions were useful for choosing where to eat.,"FR-05, FR-06, FR-07"
2026-07-20,U018,International Student,HallPass Prototype,Create an account or sign in,Yes,4,4,,Signup form,The simulated login and signup flow was simple to complete.,FR-03
2026-07-20,U019,Exchange Student,HallPass Prototype,Submit a dormitory or cafeteria review,Yes,4,4,Review category,Form validation,The rating and category fields need clearer instructions.,"FR-08, FR-10, FR-14"
2026-07-20,U020,Exchange Student,HallPass Prototype,Read the campus survival guide,Yes,4,5,,Guide topic cards,The guide topics were clear and easy to browse.,FR-09
2026-07-20,U021,Student Administrator,HallPass Prototype,View the administrative dashboard,Yes,5,5,,Dashboard summary,The dashboard clearly displayed review statistics and moderation information.,FR-11
2026-07-20,U022,International Student,HallPass Prototype,Understand HallPass homepage,No,2,3,Homepage purpose,Main navigation,"The main purpose was clear, although the feature card wording could be shorter.","FR-01, FR-02"
2026-07-20,U023,International Student,HallPass Prototype,Browse dormitory reviews,No,3,4,Opening review details,Dormitory review cards,"The dormitory reviews were useful, but the search label should be clearer.","FR-04, FR-06, FR-07"
2026-07-20,U024,First-year Student,HallPass Prototype,Browse cafeteria reviews,No,3,3,Cafeteria category label,Review detail page,"The search worked, although the filter wording should be more noticeable.","FR-05, FR-06, FR-07"
2026-07-20,U025,International Student,HallPass Prototype,Create an account or sign in,Yes,5,5,,Login form,I could create an account and access HallPass without assistance.,FR-03
2026-07-21,U026,International Student,HallPass Prototype,Submit a dormitory or cafeteria review,Yes,3,5,,Submission confirmation,The review form was clear and I submitted the review successfully.,"FR-08, FR-10, FR-14"
2026-07-21,U027,First-year Student,HallPass Prototype,Read the campus survival guide,Yes,4,4,Guide topic organization,Practical campus tips,The guide headings could be more descriptive.,FR-09
2026-07-21,U028,Student Administrator,HallPass Prototype,View the administrative dashboard,Yes,4,4,Dashboard location,Dashboard summary,Returning from the dashboard to the main pages could be more obvious.,FR-11
2026-07-21,U029,International Student,HallPass Prototype,Understand HallPass homepage,Yes,3,3,,Main navigation,Navigation to the main HallPass pages was clear.,"FR-01, FR-02"
2026-07-21,U030,First-year Student,HallPass Prototype,Browse dormitory reviews,Yes,4,5,,Review detail page,I could find and open a dormitory review without assistance.,"FR-04, FR-06, FR-07"
2026-07-21,U031,First-year Student,HallPass Prototype,Browse cafeteria reviews,Yes,5,5,,Review detail page,The cafeteria reviews made it easy to compare food options.,"FR-05, FR-06, FR-07"
2026-07-21,U032,First-year Student,HallPass Prototype,Create an account or sign in,No,2,4,Password guidance,Signup form,Switching between login and signup could be more obvious.,FR-03
2026-07-21,U033,First-year Student,HallPass Prototype,Submit a dormitory or cafeteria review,No,3,4,Required fields,Submission confirmation,The required fields need stronger visual indicators.,"FR-08, FR-10, FR-14"
2026-07-21,U034,International Student,HallPass Prototype,Read the campus survival guide,Yes,5,4,,Practical campus tips,The practical campus tips were relevant to first-year and international students.,FR-09
2026-07-21,U035,Student Administrator,HallPass Prototype,View the administrative dashboard,Yes,3,4,,Dashboard summary,The dashboard clearly displayed review statistics and moderation information.,FR-11
2026-07-21,U036,First-year Student,HallPass Prototype,Understand HallPass homepage,Yes,4,5,,Feature cards,The main features were easy to identify from the homepage.,"FR-01, FR-02"
2026-07-21,U037,First-year Student,HallPass Prototype,Browse dormitory reviews,Yes,5,5,,Search and filter,The rating and review details helped me understand the accommodation options.,"FR-04, FR-06, FR-07"
2026-07-21,U038,International Student,HallPass Prototype,Browse cafeteria reviews,Yes,5,5,Cafeteria category label,Cafeteria review cards,"The cafeteria reviews were useful, but the category label could be clearer.","FR-05, FR-06, FR-07"
2026-07-21,U039,First-year Student,HallPass Prototype,Create an account or sign in,Yes,4,5,,Authentication navigation,The login page matched the design of the other HallPass pages.,FR-03
2026-07-21,U040,First-year Student,HallPass Prototype,Submit a dormitory or cafeteria review,No,3,2,Submission confirmation,Write Review form,"The review was submitted, but the confirmation message should be more noticeable.","FR-08, FR-10, FR-14"
2026-07-21,U041,First-year Student,HallPass Prototype,Read the campus survival guide,Yes,5,5,,Campus survival guide,The campus survival guide provided useful information for new students.,FR-09
2026-07-21,U042,Student Administrator,HallPass Prototype,View the administrative dashboard,Yes,4,5,Dashboard navigation,Dashboard summary,"The dashboard was useful, but the statistic labels should be clearer.",FR-11
2026-07-21,U043,First-year Student,HallPass Prototype,Understand HallPass homepage,Yes,5,5,,Homepage overview,The main features were easy to identify from the homepage.,"FR-01, FR-02"
2026-07-21,U044,Senior Student,HallPass Prototype,Browse dormitory reviews,Yes,5,4,,Review detail page,The rating and review details helped me understand the accommodation options.,"FR-04, FR-06, FR-07"
2026-07-21,U045,International Student,HallPass Prototype,Browse cafeteria reviews,Yes,4,5,,Review detail page,The cafeteria reviews made it easy to compare food options.,"FR-05, FR-06, FR-07"
2026-07-21,U046,International Student,HallPass Prototype,Create an account or sign in,Yes,4,5,Login field labels,Login form,"The login worked, but the confirmation message should be clearer.",FR-03
2026-07-21,U047,First-year Student,HallPass Prototype,Submit a dormitory or cafeteria review,Yes,4,4,,Form validation,The form requested only appropriate information and protected student privacy.,"FR-08, FR-10, FR-14"
2026-07-21,U048,International Student,HallPass Prototype,Read the campus survival guide,Yes,4,4,,Campus survival guide,The campus survival guide provided useful information for new students.,FR-09
2026-07-21,U049,Staff Administrator,HallPass Prototype,View the administrative dashboard,No,3,4,Moderation section,Dashboard summary,The moderation section could be easier to locate.,FR-11
2026-07-21,U050,First-year Student,HallPass Prototype,Understand HallPass homepage,Yes,4,3,,Main navigation,The homepage clearly explained HallPass and its purpose.,"FR-01, FR-02"
2026-07-22,U051,First-year Student,HallPass Prototype,Browse dormitory reviews,Yes,4,4,Dormitory category label,Review detail page,The dormitory category label could be more noticeable.,"FR-04, FR-06, FR-07"
2026-07-22,U052,First-year Student,HallPass Prototype,Browse cafeteria reviews,Yes,3,4,,Cafeteria review cards,The ratings and descriptions were useful for choosing where to eat.,"FR-05, FR-06, FR-07"
2026-07-22,U053,International Student,HallPass Prototype,Create an account or sign in,Yes,4,4,Login and signup navigation,Authentication navigation,Switching between login and signup could be more obvious.,FR-03
2026-07-22,U054,Senior Student,HallPass Prototype,Submit a dormitory or cafeteria review,Yes,3,4,,Submission confirmation,The review form was clear and I submitted the review successfully.,"FR-08, FR-10, FR-14"
2026-07-22,U055,International Student,HallPass Prototype,Read the campus survival guide,Yes,3,5,Guide navigation,Guide topic cards,Moving between guide sections could be easier.,FR-09
2026-07-22,U056,Student Administrator,HallPass Prototype,View the administrative dashboard,No,2,3,Statistic labels,Moderation information,"The dashboard was useful, but the statistic labels should be clearer.",FR-11
