Data_Field,Example_Value,Purpose,Personal_Data,Sensitive_Data,Visibility,Keep_Remove_Replace,Responsible_Action
UserEmail,student@hallpass.com,Simulate login and identify the account,Yes,No,Private to account and authorized admin,Keep,"Do not display publicly; replace demo login with secure authentication"
Password,Student123!,Demonstrate login verification,Yes,Yes,Private,Replace,"Never store plain text or hard-code production credentials; hash and salt passwords"
UserRole,student,Separate student and administrator permissions,Yes,No,Private to account and system,Keep,"Use server-enforced role-based access control"
ReviewID,HP-001,Uniquely identify a review record,No,No,Public for approved records,Keep,"Generate a unique non-identifying ID"
ReviewType,Dormitory,Separate dormitory and cafeteria reviews,No,No,Public,Keep,"Restrict values to Dormitory or Cafeteria"
PlaceName,RSU Residence,Identify the reviewed place,No,No,Public,Keep,"Validate length and moderate misleading content"
Location_or_Distance,5 min walk,Help students understand the general location,No,No,Public,Keep,"Use general place text; do not collect precise live GPS"
PriceRange,8500 THB/mo,Provide approximate cost context,No,No,Public,Keep,"Label as user-provided and allow corrections"
Rating,4.5,Support comparison of places,No,No,Public,Keep,"Validate against allowed rating values"
ReviewText,Clean rooms and convenient for new students,Share student experience,Potentially,Potentially,Public only after approval,Keep,"Warn users not to include personal data; sanitize and moderate before publication"
DateSubmitted,2026-07-16,Show review recency and support moderation,No,No,Public for approved records,Keep,"Generate automatically and archive outdated content"
ModerationStatus,Pending,Control publication workflow,No,No,Student owner and admin; Approved status may be public,Keep,"Restrict status changes to authorized moderators and log actions"
ReviewPhoto,rsu-residence.jpg,Optionally illustrate a reviewed place,Potentially,Potentially,Not stored in current MVP,Remove,"Disable current upload; if implemented validate type size content rights and metadata"
FullName,Htet Htet Myint Zaw,Not required for HallPass review functions,Yes,No,None,Remove,"Use username or anonymous label instead"
StudentID,6600000,Not required for HallPass review functions,Yes,Yes,None,Remove,"Do not collect"
ValidationParticipantID,T001,Link Lab 08 usability responses without naming testers,No,No,TriByte team and lecturer,Keep,"Use coded IDs; restrict editing; delete after the assessment retention period"
