EventID,RecordID,EventDateTime,UserRole,ActionType,DeviceType,ProcessingTimeMinutes,RequirementID
E001,HP001,7/15/2026 9:00,Student,ViewHome,Mobile,1,FR-01
E002,HP001,7/15/2026 9:02,Student,BrowseDorm,Mobile,3,FR-04
E003,HP001,7/15/2026 9:05,Student,FilterByRating,Mobile,1,FR-06
E004,HP002,7/15/2026 9:07,Student,SortListings,Mobile,1,FR-06
E005,HP003,7/15/2026 9:09,Student,SearchPlace,Mobile,2,FR-06
E006,HP003,7/15/2026 9:12,Student,ViewPlaceDetails,Mobile,3,FR-07
E007,HP004,7/16/2026 12:00,Student,BrowseCafeteria,Laptop,4,FR-05
E008,HP004,7/16/2026 12:05,Student,SearchPlace,Laptop,2,FR-06
E009,HP004,7/16/2026 12:08,Student,ViewPlaceDetails,Laptop,3,FR-07
E010,HP104,7/16/2026 12:15,Student,SubmitReview,Mobile,6,FR-08
E011,HP005,7/17/2026 10:00,Student,SearchGuide,Mobile,2,FR-09
E012,HP005,7/17/2026 10:03,Student,ViewGuideDetails,Mobile,4,FR-09
E013,HP006,7/18/2026 8:30,Student,BrowseCafeteria,Mobile,3,FR-05
E014,HP007,7/18/2026 11:00,Student,BrowseDorm,Laptop,3,FR-04
E015,HP101,7/19/2026 6:10,Student,SubmitReview,Laptop,5,FR-08
E016,HP103,7/20/2026 5:05,Student,SubmitReview,Mobile,5,FR-08
E017,HP102,7/21/2026 4:20,Student,SubmitReview,Mobile,6,FR-08
E018,HP105,7/22/2026 10:40,Student,SubmitReview,Laptop,5,FR-08
E019,HPT201,7/23/2026 9:00,Student,Login,Laptop,2,FR-03
E020,HPT201,7/23/2026 9:04,Student,SubmitReview,Laptop,7,FR-08
E021,HPT201,7/23/2026 9:12,Student,ViewStudentDashboard,Laptop,3,FR-11
E022,HPT201,7/23/2026 9:15,Student,FilterSubmissions,Laptop,1,FR-14
E023,HPT202,7/23/2026 11:30,Student,SubmitReview,Mobile,6,FR-08
E024,HPT202,7/24/2026 8:00,Admin,Login,Desktop,2,FR-03
E025,HPT202,7/24/2026 8:03,Admin,ViewAdminDashboard,Desktop,3,FR-12
E026,HPT202,7/24/2026 8:07,Admin,OpenModerationDetail,Desktop,4,FR-13
E027,HPT202,7/24/2026 8:12,Admin,ApproveReview,Desktop,2,FR-13
E028,HPT202,7/24/2026 8:14,Admin,WriteAuditEntry,Desktop,1,FR-21
E029,HPT203,7/24/2026 10:00,Student,SubmitReview,Mobile,5,FR-08
E030,HPT203,7/25/2026 8:10,Admin,OpenModerationDetail,Laptop,4,FR-13
E031,HPT203,7/25/2026 8:15,Admin,RejectReview,Laptop,2,FR-13
E032,HPT203,7/25/2026 8:17,Admin,WriteAuditEntry,Laptop,1,FR-21
E033,HPT204,7/24/2026 13:00,Student,SubmitReview,Mobile,6,FR-08
E034,HPT204,7/24/2026 13:08,Student,ViewStudentDashboard,Mobile,3,FR-11
E035,HPT204,7/25/2026 9:00,Student,RequestReviewRemoval,Mobile,3,FR-17
E036,HPT204,7/25/2026 9:10,Admin,ViewRemovalQueue,Laptop,3,FR-13
E037,HP101,7/25/2026 9:30,Student,ReportIncorrectInfo,Mobile,5,FR-19
E038,HP101,7/25/2026 9:40,Admin,OpenReportInvestigation,Laptop,5,FR-19
E039,HP101,7/25/2026 9:46,Admin,ConfirmContentReport,Laptop,2,FR-19
E040,HP102,7/25/2026 10:00,Student,ReportIncorrectInfo,Laptop,4,FR-19
E041,HP102,7/25/2026 10:10,Admin,OpenReportInvestigation,Laptop,4,FR-19
E042,HP102,7/25/2026 10:15,Admin,RejectContentReport,Laptop,2,FR-19
E043,HP001,7/25/2026 10:30,Admin,SearchUsers,Desktop,2,FR-20
E044,HP001,7/25/2026 10:33,Admin,ReportUserBehaviour,Desktop,3,FR-20
E045,HP001,7/25/2026 10:37,Admin,SuspendUser,Desktop,2,FR-20
E046,HP001,7/25/2026 10:40,Admin,RestoreUser,Desktop,2,FR-20
E047,HP001,7/25/2026 10:43,Admin,DeleteUser,Desktop,2,FR-20
E048,HP002,7/25/2026 11:00,Student,UpdateProfile,Laptop,4,FR-11
E049,HP002,7/25/2026 11:05,Student,UploadProfilePicture,Laptop,5,FR-11
E050,HP003,7/25/2026 11:15,Student,SortPlaceReviews,Mobile,1,FR-07
E051,HP004,7/25/2026 11:20,Student,ReportIncorrectInfo,Mobile,4,FR-19
E052,HP004,7/25/2026 11:30,Admin,ViewReportsPanel,Desktop,2,FR-19
E053,HP005,7/25/2026 11:40,Admin,ViewUsersPanel,Desktop,2,FR-20
E054,HP006,7/25/2026 11:50,Admin,ViewAuditLog,Desktop,2,FR-21
